x0	response
-1	0.0
-0.979798	-0.038796122003463274
-0.959596	-0.0744733470212936
-0.939394	-0.10717408663814865
-0.919192	-0.1370367549205206
-0.89899	-0.16419576841673533
-0.878788	-0.1887815461569532
-0.858586	-0.21092050965316844
-0.838384	-0.23073508289920963
-0.818182	-0.24834369237073983
-0.79798	-0.2638607670252555
-0.777778	-0.2773967383020881
-0.757576	-0.28905804012240277
-0.737374	-0.29894710888919884
-0.717172	-0.30716238348731006
-0.69697	-0.31379830528340424
-0.676768	-0.3189453181259831
-0.656566	-0.32268986834538277
-0.636364	-0.3251144047537736
-0.616162	-0.32629737864516006
-0.59596	-0.32631324379538074
-0.575758	-0.3252324564621083
-0.555556	-0.32312147538484987
-0.535354	-0.3200427617849464
-0.515152	-0.31605477936557325
-0.494949	-0.31121199431173985
-0.474747	-0.30556487529028986
-0.454545	-0.29915989344990096
-0.434343	-0.2920395224210852
-0.414141	-0.2842422383161887
-0.393939	-0.27580251972939174
-0.373737	-0.26675084773670876
-0.353535	-0.2571137058959885
-0.333333	-0.24691358024691354
-0.313131	-0.23616895931100104
-0.292929	-0.2248943340916021
-0.272727	-0.21310019807390204
-0.252525	-0.20079304722492025
-0.232323	-0.18797537999351044
-0.212121	-0.17464569731036042
-0.191919	-0.16079850258799216
-0.171717	-0.1464243017207618
-0.151515	-0.13150960308485976
-0.131313	-0.11603691753831037
-0.111111	-0.09998475842097236
-0.0909091	-0.08332764155453856
-0.0707071	-0.06603608524253596
-0.0505051	-0.048076610270325705
-0.030303	-0.029411739905103266
-0.010101	-0.009999999895897919
0.010101	0.01020408152642656
0.030303	0.031249973649172456
0.0505051	0.0531911432778074
0.0707071	0.07608505473596545
0.0909091	0.09999316986544653
0.111111	0.12498094802621558
0.131313	0.1511178460964045
0.151515	0.17847731847230983
0.171717	0.20713681706839485
0.191919	0.23717779131728872
0.212121	0.2686856881697854
0.232323	0.30174995209484606
0.252525	0.3364640250795963
0.272727	0.37292534662932897
0.292929	0.4112353537675013
0.313131	0.45149948103573745
0.333333	0.49382716049382747
0.353535	0.5383318217197259
0.373737	0.5851308918095552
0.393939	0.6343457953776013
0.414141	0.6861019545563182
0.434343	0.7405287889963236
0.454545	0.7977597158664027
0.474747	0.8579321498535066
0.494949	0.9211875031627502
0.515152	0.9876711855174172
0.535354	1.0575326041589537
0.555556	1.1309251638469746
0.575758	1.2080062668592602
0.59596	1.2889373129917543
0.616162	1.3738836995585697
0.636364	1.4630148213919818
0.656566	1.5565040708424358
0.676768	1.6545288377785377
0.69697	1.7572705095870638
0.717172	1.8649144711729553
0.737374	1.9776501049593163
0.757576	2.0956707908874215
0.777778	2.2191739064167058
0.79798	2.3483608265247753
0.818182	2.483436923707398
0.838384	2.6246115679785103
0.858586	2.7720981268702145
0.878788	2.926113965432774
0.89899	3.0868804462346264
0.919192	3.254622929362367
0.939394	3.4295707724207602
0.959596	3.6119573305327406
0.979798	3.8020199563393993
1	4.0
